source,dimension,records,valid_rate,zero_rate_when_valid,mean,std,p10,p50,p90,unique_numeric,level_entropy,top_level,top_level_share,physical_pairs,physical_pearson,physical_spearman,level_no_visible_rate,level_subtle_rate,level_mild_rate,level_moderate_rate,level_severe_rate,level_extreme_rate
condition8,blur,20540,0.9831061343719572,0.000495221116228396,0.6281538156787007,0.18369566724648564,0.5,0.55,0.95,26,0.6439930506545266,moderate,0.48531669390382803,20193,0.09268876189579942,0.10757083379257167,0.000495221116228396,0.0010894864557024712,0.06091219729609271,0.48531669390382803,0.33135244886841975,0.12083395235972862
condition8,noise,20540,0.9912852969814995,0.0003929080104120623,0.6339089435685871,0.19113445503582183,0.35000000000000003,0.7000000000000001,0.9,33,0.7303752876385942,moderate,0.36496242817150437,20361,0.22564143499605052,0.2152010124346822,0.0005402485143165856,0.005156917636658318,0.11016158341928196,0.36496242817150437,0.3519964638279063,0.1671823584303325
condition8,compression,20540,0.7830574488802337,0.002922158666998259,0.5434095996020891,0.18215349064198655,0.25,0.5,0.7500000000000001,28,0.6468372681725796,moderate,0.5861725938821188,16084,nan,nan,0.0029843322556577967,0.014921661278288983,0.11862720716239741,0.5861725938821188,0.20678935588162148,0.07050484953991544
condition8,ringing_aliasing,20540,0.10603700097370984,0.08034894398530762,0.46622130394857664,0.19919927097086604,0.25,0.5,0.5,21,0.5777338807495862,moderate,0.7006427915518825,2178,0.04081812764900811,0.04773143432102266,0.08034894398530762,0.009182736455463728,0.1115702479338843,0.7006427915518825,0.05417814508723599,0.0440771349862259
condition8,texture_loss,20540,0.9603213242453749,0.0004055766793409379,0.6575138149556401,0.19327550520386333,0.5,0.7000000000000001,0.9500000000000002,24,0.6881822029970025,severe,0.3844359949302915,19725,0.23223783657427485,0.22340257876702613,0.0004055766793409379,0.0031432192648922688,0.05901140684410646,0.3719645120405577,0.3844359949302915,0.18103929024081114
condition8,photometric,20540,0.4860759493670886,0.0015024038461538462,0.5055629006410256,0.24019499050434243,0.25,0.5,0.75,21,0.7899793267179356,moderate,0.3919270833333333,9984,nan,nan,0.0015024038461538462,0.048477564102564104,0.2692307692307692,0.3919270833333333,0.19801682692307693,0.09084535256410256
condition8,structure_risk,20540,0.20287244401168453,0.037437005039596835,0.6643028557715382,0.25128064110511256,0.5,0.75,1.0,6,0.7498170272692749,moderate,0.36765058795296374,4167,0.0457312770221005,0.035332581255660585,0.037437005039596835,0.01655867530597552,0.02183825293976482,0.36765058795296374,0.3326133909287257,0.22390208783297336
condition8,hallucination_risk,20540,0.027263875365141188,0.04107142857142857,0.4901785714285714,0.12189707413910093,0.5,0.5,0.5,5,0.2260223386927666,moderate,0.9214285714285714,560,0.09068869257457253,0.07618706054611254,0.04107142857142857,0.0,0.0035714285714285713,0.9214285714285714,0.02142857142857143,0.0125
iqa,blur,20540,0.9826679649464459,0.0005449861276258422,0.62760602457392,0.19721077287295646,0.5,0.5,1.0,6,0.6446767054600904,moderate,0.48528537455410226,20184,0.08945770934784159,0.0898520064269387,0.0005449861276258422,0.001288149028933809,0.06039437177962743,0.48528537455410226,0.33100475624256837,0.12148236226714229
iqa,noise,20540,0.9858812074001947,0.0005925925925925926,0.6432345679012346,0.22816207535920754,0.25,0.75,1.0,6,0.7363347709534053,moderate,0.36548148148148146,20250,0.20571173670815335,0.1917873939168769,0.0005925925925925926,0.009876543209876543,0.1019753086419753,0.36548148148148146,0.3522469135802469,0.16982716049382715
iqa,compression,20540,0.7788704965920156,0.0030628828603575446,0.5513001625203151,0.19748749315454803,0.25,0.5,0.75,6,0.6487303423744109,moderate,0.5885735716964621,15998,nan,nan,0.0030628828603575446,0.017939742467808478,0.11145143142892862,0.5885735716964621,0.20646330791348919,0.07250906363295412
iqa,ringing_aliasing,20540,0.08948393378773126,0.008161044613710556,0.525544069640914,0.1497335426791277,0.5,0.5,0.75,6,0.3844504891713573,moderate,0.8297062023939065,1838,0.008034413840034695,0.012648381837693356,0.008161044613710556,0.009249183895538629,0.03645266594124048,0.8297062023939065,0.06311207834602829,0.05331882480957562
iqa,texture_loss,20540,0.9502921129503408,0.0004098570623495056,0.6784184640606588,0.21135915439217168,0.5,0.75,1.0,6,0.6840205712353039,moderate,0.37445565858906704,19519,0.24632027806165158,0.2454397950209196,0.0004098570623495056,0.0022029817101285928,0.051437061324862955,0.37445565858906704,0.3735334801987807,0.1979609611148112
iqa,photometric,20540,0.471713729308666,0.0015481473836309217,0.5186758179378677,0.24300049900500847,0.25,0.5,0.75,6,0.7769595240187364,moderate,0.402621529569615,9689,nan,nan,0.0015481473836309217,0.03374961296315409,0.2644235731241614,0.402621529569615,0.19909175353493652,0.09856538342450201
iqa,structure_risk,20540,0.20034079844206426,0.038882138517618466,0.6644349939246659,0.2535711218138859,0.5,0.75,1.0,6,0.7554362685109388,moderate,0.36160388821385175,4115,0.03778864404385328,0.026262908560603173,0.038882138517618466,0.016767922235722963,0.023572296476306195,0.36160388821385175,0.3324422843256379,0.2267314702308627
iqa,hallucination_risk,20540,0.0011684518013631937,0.041666666666666664,0.65625,0.28697869404074816,0.25,0.75,1.0,5,0.9057032657676406,moderate,0.2916666666666667,24,0.188342070647582,0.2595336576728916,0.041666666666666664,0.0,0.125,0.2916666666666667,0.25,0.2916666666666667
suggestion,blur,20540,0.5463972736124635,0.0007128218836318275,0.38396150761828385,0.07726390767572473,0.3,0.44999999999999996,0.44999999999999996,5,0.5202757066545547,moderate,0.565802370132763,11223,0.10739575976392507,0.10943385913357946,0.0007128218836318275,0.0059698832754165555,0.4275149247081885,0.565802370132763,0.0,0.0
suggestion,noise,20540,0.9416260954235638,0.0007755545214828603,0.3655328059562587,0.08383911484964257,0.3,0.3,0.44999999999999996,6,0.5756965769000322,mild,0.5144511659169639,19341,0.13090278696898106,0.12084783167310034,0.0007755545214828603,0.02538648466987229,0.5144511659169639,0.4593867948916809,0.0,0.0
suggestion,compression,20540,0.39177215189873416,0.0024853982850751833,0.31690692183422386,0.07623904092595235,0.3,0.3,0.44999999999999996,5,0.5355413416016575,mild,0.7375419410960606,8047,nan,nan,0.0024853982850751833,0.07133093078165777,0.7375419410960606,0.18864172983720642,0.0,0.0
suggestion,ringing_aliasing,20540,0.024294060370009737,0.3847695390781563,0.181563126252505,0.1466416348148384,0.0,0.3,0.3,4,0.6038386965534509,mild,0.5751503006012024,499,0.025021229526382607,0.02460638443043699,0.3847695390781563,0.03006012024048096,0.5751503006012024,0.01002004008016032,0.0,0.0
suggestion,texture_loss,20540,0.5437682570593964,0.0003581341212284,0.33293043244695136,0.0940375694034465,0.15,0.3,0.44999999999999996,4,0.6751687487991365,mild,0.5598531650102964,11169,-0.01838234771243042,-0.019074781747144345,0.0003581341212284,0.1097681081565046,0.5598531650102964,0.33002059271197065,0.0,0.0
suggestion,photometric,20540,0.08661148977604674,0.0,0.22183811129848227,0.08415532554356515,0.15,0.15,0.3,3,0.731890165162085,subtle,0.5536818437324339,1779,nan,nan,0.0,0.5536818437324339,0.41371557054525016,0.032602585722315905,0.0,0.0
suggestion,structure_risk,20540,0.020399221032132424,0.0,0.5023866348448688,0.09298309140250405,0.5,0.5,0.5,3,0.45303795435326505,moderate,0.8615751789976134,419,0.027775223421697394,0.0274551974011964,0.0,0.0,0.06443914081145585,0.8615751789976134,0.07398568019093078,0.0
suggestion,hallucination_risk,20540,0.02643622200584226,0.0423572744014733,0.48158379373848986,0.10459813421905989,0.5,0.5,0.5,3,0.21450244757837808,moderate,0.9465930018416207,543,0.0916245323069648,0.08653252875479593,0.0423572744014733,0.0,0.0,0.9465930018416207,0.011049723756906077,0.0
